datetime,cpu,mem
Fri Sep  1 14:21:02 UTC 2023,12,3865527
Fri Sep  1 14:21:05 UTC 2023,19,3965082
Fri Sep  1 14:21:08 UTC 2023,19,4027020
Fri Sep  1 14:22:31 UTC 2023,42,4011665
Fri Sep  1 14:22:33 UTC 2023,13,3965729
Fri Sep  1 14:22:36 UTC 2023,13,4009339
Fri Sep  1 14:23:59 UTC 2023,6.5,3822594
Fri Sep  1 14:24:02 UTC 2023,26,3767763
Fri Sep  1 14:24:05 UTC 2023,26,3813021
Fri Sep  1 14:25:28 UTC 2023,27,3584445
Fri Sep  1 14:25:31 UTC 2023,6.5,3619009
Fri Sep  1 14:25:33 UTC 2023,6.5,3845903
Fri Sep  1 14:25:36 UTC 2023,29,3836711
Fri Sep  1 14:26:57 UTC 2023,29,3616684
Fri Sep  1 14:27:00 UTC 2023,7.4,3641701
Fri Sep  1 14:27:02 UTC 2023,7.4,3908838
Fri Sep  1 14:27:05 UTC 2023,27,3638730
Fri Sep  1 14:28:26 UTC 2023,27,3914011
Fri Sep  1 14:28:28 UTC 2023,7.8,3917372
Fri Sep  1 14:28:31 UTC 2023,7.8,3910253
Fri Sep  1 14:28:34 UTC 2023,16,3869618
Fri Sep  1 14:29:55 UTC 2023,7.1,4398237
Fri Sep  1 14:29:58 UTC 2023,8.4,4367494
Fri Sep  1 14:30:00 UTC 2023,8.4,4333536
Fri Sep  1 14:30:03 UTC 2023,57,4307843
Fri Sep  1 14:31:24 UTC 2023,57,4076069
Fri Sep  1 14:31:26 UTC 2023,7.4,3968183
Fri Sep  1 14:31:29 UTC 2023,7.4,4065862
Fri Sep  1 14:31:31 UTC 2023,7.4,4022512
Fri Sep  1 14:32:52 UTC 2023,22,4046373
Fri Sep  1 14:32:55 UTC 2023,6.6,3942475
Fri Sep  1 14:32:57 UTC 2023,6.6,4037195
Fri Sep  1 14:33:00 UTC 2023,6.6,3995694
Fri Sep  1 14:34:21 UTC 2023,4.8,4061260
Fri Sep  1 14:34:23 UTC 2023,11,3824474
Fri Sep  1 14:34:26 UTC 2023,11,4003311
Fri Sep  1 14:35:50 UTC 2023,34,3957686
Fri Sep  1 14:35:52 UTC 2023,8.5,3874523
Fri Sep  1 14:35:55 UTC 2023,8.5,3994420
Fri Sep  1 14:35:58 UTC 2023,32,3849713
Fri Sep  1 14:37:19 UTC 2023,32,3922483
Fri Sep  1 14:37:22 UTC 2023,9.1,3817746
Fri Sep  1 14:37:24 UTC 2023,9.1,3927303
Fri Sep  1 14:37:27 UTC 2023,34,3773168
Fri Sep  1 14:38:48 UTC 2023,34,3843210
Fri Sep  1 14:38:50 UTC 2023,8.8,3821158
Fri Sep  1 14:38:53 UTC 2023,8.8,4047402
Fri Sep  1 14:38:56 UTC 2023,8.8,4061455
Fri Sep  1 14:40:17 UTC 2023,34,4038255
Fri Sep  1 14:40:19 UTC 2023,8.5,3772611
Fri Sep  1 14:40:22 UTC 2023,8.5,4042464
Fri Sep  1 14:40:24 UTC 2023,39,4061948
Fri Sep  1 14:41:45 UTC 2023,39,4110220
Fri Sep  1 14:41:48 UTC 2023,9.8,3829804
Fri Sep  1 14:41:50 UTC 2023,9.8,4113394
Fri Sep  1 14:43:14 UTC 2023,34,4010945
Fri Sep  1 14:43:16 UTC 2023,7.7,3908615
Fri Sep  1 14:43:19 UTC 2023,7.7,4110608
Fri Sep  1 14:43:22 UTC 2023,7.7,4051386
Fri Sep  1 14:44:43 UTC 2023,5.8,4107114
Fri Sep  1 14:44:45 UTC 2023,8.9,3959578
Fri Sep  1 14:44:48 UTC 2023,8.9,4078823
Fri Sep  1 14:44:50 UTC 2023,31,4097608
Fri Sep  1 14:46:12 UTC 2023,31,4165897
Fri Sep  1 14:46:14 UTC 2023,8.3,3963864
Fri Sep  1 14:46:17 UTC 2023,8.3,4123666
Fri Sep  1 14:46:19 UTC 2023,8.3,4126194
Fri Sep  1 14:47:40 UTC 2023,34,4004913
Fri Sep  1 14:47:43 UTC 2023,7.8,3873430
Fri Sep  1 14:47:45 UTC 2023,7.8,3942795
Fri Sep  1 14:47:48 UTC 2023,7.8,3922099
Fri Sep  1 14:49:09 UTC 2023,5.3,3852595
Fri Sep  1 14:49:12 UTC 2023,20,3818991
Fri Sep  1 14:49:14 UTC 2023,20,3859717
Fri Sep  1 14:49:17 UTC 2023,30,3803126
Fri Sep  1 14:50:38 UTC 2023,30,3880724
Fri Sep  1 14:50:40 UTC 2023,7.6,3856816
Fri Sep  1 14:50:42 UTC 2023,7.6,3858726
Fri Sep  1 14:50:44 UTC 2023,7.6,3826175
Fri Sep  1 14:52:06 UTC 2023,30,3992639
Fri Sep  1 14:52:08 UTC 2023,8,3995028
Fri Sep  1 14:52:10 UTC 2023,8,3990266
Fri Sep  1 14:52:12 UTC 2023,8,3986988
Fri Sep  1 14:53:34 UTC 2023,37,3901870
Fri Sep  1 14:53:36 UTC 2023,7.3,3920862
Fri Sep  1 14:53:38 UTC 2023,7.3,3932609
Fri Sep  1 14:53:40 UTC 2023,7.3,3922699
Fri Sep  1 14:55:02 UTC 2023,7.6,3954248
Fri Sep  1 14:55:04 UTC 2023,7.5,3981820
Fri Sep  1 14:55:06 UTC 2023,7.5,3983716
Fri Sep  1 14:55:08 UTC 2023,7.5,3977519
Fri Sep  1 14:56:31 UTC 2023,26,4159007
Fri Sep  1 14:56:32 UTC 2023,7.3,3961820
Fri Sep  1 14:56:34 UTC 2023,7.3,4079165
Fri Sep  1 14:56:36 UTC 2023,7.3,4036070
Fri Sep  1 14:57:59 UTC 2023,30,4137945
Fri Sep  1 14:58:01 UTC 2023,7.4,4018282
Fri Sep  1 14:58:03 UTC 2023,7.4,4119188
Fri Sep  1 14:58:05 UTC 2023,7.4,4082843
Fri Sep  1 14:59:27 UTC 2023,4.9,4143935
Fri Sep  1 14:59:29 UTC 2023,10,4036355
Fri Sep  1 14:59:31 UTC 2023,10,4141695
Fri Sep  1 14:59:33 UTC 2023,10,4108018
Fri Sep  1 15:00:55 UTC 2023,31,3968654
Fri Sep  1 15:00:57 UTC 2023,6.8,4000170
Fri Sep  1 15:00:59 UTC 2023,6.8,4031994
Fri Sep  1 15:01:01 UTC 2023,6.8,3946456
Fri Sep  1 15:02:23 UTC 2023,25,3932965
Fri Sep  1 15:02:25 UTC 2023,6.1,3940652
Fri Sep  1 15:02:27 UTC 2023,6.1,3923143
Fri Sep  1 15:02:29 UTC 2023,6.1,3802983
Fri Sep  1 15:03:51 UTC 2023,22,3956720
Fri Sep  1 15:03:53 UTC 2023,6.1,3929330
Fri Sep  1 15:03:55 UTC 2023,6.1,3954862
Fri Sep  1 15:03:57 UTC 2023,6.1,3865129
Fri Sep  1 15:05:19 UTC 2023,22,3899563
Fri Sep  1 15:05:21 UTC 2023,7.2,3902927
Fri Sep  1 15:05:23 UTC 2023,7.2,4129376
Fri Sep  1 15:05:25 UTC 2023,7.2,4072071
